,PLAYER NAME,TEAM,RK,TIERS,SOS SEASON,BYE WEEK
0,Christian McCaffrey,CAR,1,1,2,13
1,Dalvin Cook,MIN,2,1,3,7
2,Alvin Kamara,NO,3,1,2,6
3,Derrick Henry,TEN,4,1,3,13
4,Ezekiel Elliott,DAL,5,1,2,7
5,Aaron Jones,GB,6,1,0,13
6,Saquon Barkley,NYG,8,2,2,10
7,Nick Chubb,CLE,10,2,4,13
8,Jonathan Taylor,IND,12,2,4,14
9,Austin Ekeler,LAC,13,2,4,7
10,Antonio Gibson,WAS,17,2,3,9
11,Joe Mixon,CIN,19,2,3,10
12,Najee Harris,PIT,20,2,5,7
13,Clyde Edwards-Helaire,KC,25,3,4,12
14,J.K. Dobbins,BAL,30,3,4,8
15,Chris Carson,SEA,31,3,1,9
16,David Montgomery,CHI,32,3,3,10
17,D'Andre Swift,DET,33,3,0,9
18,James Robinson,JAC,39,4,4,7
19,Darrell Henderson,LAR,40,4,4,11
20,Miles Sanders,PHI,41,4,3,14
21,Josh Jacobs,LV,46,4,2,8
22,Mike Davis,ATL,48,4,2,6
23,Kareem Hunt,CLE,50,4,4,13
24,Myles Gaskin,MIA,52,4,4,14
25,Javonte Williams,DEN,60,5,5,11
26,Chase Edmonds,ARI,62,5,3,12
27,Damien Harris,NE,63,5,3,14
28,Raheem Mostert,SF,67,5,3,6
29,Melvin Gordon III,DEN,71,5,5,11
30,Ronald Jones II,TB,72,5,0,9
31,Trey Sermon,SF,74,5,3,6
32,Michael Carter,NYJ,75,5,4,6
33,James Conner,ARI,82,5,3,12
34,Zack Moss,BUF,84,6,3,7
35,Leonard Fournette,TB,86,6,0,9
36,Kenyan Drake,LV,92,6,2,8
37,Gus Edwards,BAL,96,6,4,8
38,AJ Dillon,GB,97,6,0,13
39,David Johnson,HOU,99,6,4,10
40,Jamaal Williams,DET,103,6,0,9
41,Devin Singletary,BUF,105,6,3,7
42,Nyheim Hines,IND,107,6,4,14
43,Tony Pollard,DAL,111,6,2,7
44,Phillip Lindsay,HOU,118,6,4,10
45,Latavius Murray,NO,120,7,2,6
46,James White,NE,128,7,3,14
47,Alexander Mattison,MIN,130,7,3,7
48,J.D. McKissic,WAS,131,7,3,9
49,Giovani Bernard,TB,138,7,0,9
50,Tevin Coleman,NYJ,148,7,4,6
51,Rashaad Penny,SEA,149,7,1,9
52,Tarik Cohen,CHI,172,8,3,10
53,Malcolm Brown,MIA,181,8,4,14
54,Darrel Williams,KC,194,8,4,12
55,Salvon Ahmed,MIA,195,8,4,14
56,Marlon Mack,IND,197,8,4,14
57,Darrynton Evans,TEN,199,8,3,13
58,Kenneth Gainwell,PHI,200,8,3,14
59,Damien Williams,CHI,209,9,3,10
60,Sony Michel,NE,211,9,3,14
61,Justin Jackson,LAC,212,9,4,7
62,Carlos Hyde,JAC,225,9,4,7
63,Boston Scott,PHI,228,9,3,14
64,Chuba Hubbard,CAR,231,9,2,13
65,Joshua Kelley,LAC,234,9,4,7
66,Mark Ingram II,HOU,239,9,4,10
67,Rhamondre Stevenson,NE,254,9,3,14
68,Benny Snell Jr.,PIT,256,9,5,7
69,Devontae Booker,NYG,257,9,2,10
70,Jerick McKinnon,KC,262,9,4,12
71,Ty Johnson,NYJ,266,10,4,6
72,Xavier Jones,LAR,272,10,4,11
73,Matt Breida,BUF,274,10,3,7
74,Jeff Wilson Jr.,SF,275,10,3,6
75,La'Mical Perine,NYJ,277,10,4,6
76,Wayne Gallman,SF,278,10,3,6
77,Anthony McFarland Jr.,PIT,282,10,5,7
78,Samaje Perine,CIN,285,10,3,10
79,Kerryon Johnson,PHI,295,10,3,14
80,Ke'Shawn Vaughn,TB,306,10,0,9
81,Javian Hawkins,ATL,308,10,2,6
82,DeeJay Dallas,SEA,313,10,1,9
83,Qadree Ollison,ATL,314,10,2,6
84,Jalen Richard,LV,318,10,2,8
85,Jordan Howard,PHI,319,10,3,14
86,Rex Burkhead,HOU,321,10,4,10